date,As
2014-3-18,0.00456667
2014-3-19,0.00386667
2014-3-20,0.00481667
2014-3-21,0.00483333
2014-3-22,0.0045
2014-3-23,0.0048
2014-3-24,0.00415
2014-4-5,0.00575
2014-4-6,0.00613333
2014-4-7,0.00591667
2014-4-8,0.00131667
2014-4-9,0.00025
2014-4-10,0.00026667
2014-4-11,0.00028333
2014-4-12,0.00023333
2014-4-13,0.00018333
2014-4-14,0.0002
2014-4-15,0.00018333
2014-4-16,0.00016667
2014-4-17,0.00018333
2014-4-18,0.0002
2014-4-19,0.00018333
2014-4-20,0.00015
2014-4-21,0.0002
2014-4-22,0.00016667
2014-4-23,0
2014-4-24,0.0062
2014-4-25,0.00023333
2014-4-26,0.00045
2014-4-27,0.00036667
2014-4-28,0.00035
2014-4-29,0.00031667
2014-4-30,0.00036667
2014-5-1,0.00041667
2014-5-2,0.00036667
2014-5-3,0.00033333
2014-5-4,0.00036667
2014-5-5,0.00038333
2014-5-6,0.0004
2014-5-7,0.00222
2014-5-8,0.00245
2014-5-9,0.00243333
2014-5-10,0.00265
2014-5-11,0.00306667
2014-5-12,0.00335
2014-5-13,0.00288333
2014-5-14,0.00296667
2014-5-15,0.00261667
2014-5-16,0.00281667
2014-5-17,0.00503333
2014-5-18,0.00293333
2014-5-19,0.00245
2014-5-20,0.00214286
2014-5-21,0.00056667
2014-5-22,0.000025
2014-5-23,0.00138571
2014-5-24,0.00218333
2014-5-25,0.00430833
2014-5-26,0.00495
2014-5-27,0.004875
2014-5-28,0.006075
2014-5-29,0.00539167
2014-5-30,0.00475
2014-5-31,0.00475
2014-6-1,0.00383636
2014-6-2,0.00210833
2014-6-3,0.002525
2014-6-4,0.00209167
2014-6-5,0.00179167
2014-6-6,0.00175833
2014-6-7,0.00119167
2014-6-8,0.00223333
2014-6-9,0.00195
2014-6-10,0.00188333
2014-6-11,0.003125
2014-6-12,0.00184167
2014-6-13,0.00179167
2014-6-14,0.0016
2014-6-15,0.00150833
2014-6-16,0.00166667
2014-6-17,0.0016125
2014-6-18,0.00128333
2014-6-19,0.00292
2014-6-20,0.00316667
2014-6-21,0.00368333
2014-6-22,0.00421667
2014-6-23,0.00277143
2014-6-24,0.00266667
2014-6-25,0.00276667
2014-6-26,0.0029
2014-6-27,0.00255
2014-6-28,0.002925
2014-6-29,0.00308333
2014-6-30,0.00265
2014-7-1,0.00145
2014-7-2,0.00333333
2014-7-3,0.00498333
2014-7-4,0.00445
2014-7-5,0.00433333
2014-7-6,0.00123333
2014-7-7,0.0008
2014-7-8,0.00256667
2014-7-9,0.00291667
2014-7-10,0.00285
2014-7-11,0.00231667
2014-7-12,0.00242
2014-7-14,0.0026
2014-7-15,0.00238333
2014-7-16,0.00218333
2014-7-17,0.00205
2014-7-18,0.00221667
2014-7-19,0.00235
2014-7-20,0.00216667
2014-7-21,0.00203333
2014-7-22,0.00196667
2014-7-23,0.00185
2014-7-24,0.00176667
2014-7-25,0.00176667
2014-7-26,0.00161667
2014-7-27,0.00203333
2014-7-28,0.00208333
2014-7-29,0.00206667
2014-7-30,0.00176667
2014-7-31,0.00165
2014-8-1,0.00163333
2014-8-2,0.00168333
2014-8-3,0.00161667
2014-8-4,0.00151667
2014-8-5,0.00135
2014-8-6,0.00143333
2014-8-7,0.00146667
2014-8-8,0.0012
2014-8-11,0.00022
2014-8-12,0.00081429
2014-8-13,0.00103333
2014-8-14,0.00111667
2014-8-15,0.00091667
2014-8-16,0.00103333
2014-8-17,0.00078333
2014-8-18,0.00058333
2014-8-19,0.0004
2014-8-20,0.0130875
2014-8-21,0.01341667
2014-8-22,0.01345
2014-8-23,0.01285
2014-8-24,0.0142
2014-8-25,0.01303
2014-8-26,0.01263333
2014-8-27,0.01413333
2014-8-28,0.01533333
2014-8-29,0.01513333
2014-8-30,0.01461667
2014-8-31,0.01465
2014-9-1,0.01406667
2014-9-2,0.0143
2014-9-3,0.01807778
2014-9-4,0.025625
2014-9-5,0.019025
2014-9-10,0.01199
2014-9-11,0.01794286
2014-9-12,0.01763333
2014-9-13,0.006375
2014-9-14,0.01146667
2014-9-15,0.0073875
2014-9-16,0.00963333
2014-9-17,0.00906667
2014-9-18,0.00320625
2014-9-19,0.01902857
2014-9-20,0.0043
2014-9-21,0.0046
2014-9-22,0.00176
2014-9-23,0.00055
2014-9-24,0.00198333
2014-9-25,0.002
2014-9-26,0.0028
2014-9-27,0.00366667
2014-9-28,0.00183333
2014-9-29,0.00128333
2014-9-30,0.00116667
2014-10-1,0.00088333
2014-10-2,0.00056667
2014-10-3,0.00188333
2014-10-4,0.00091667
